seed,x,y,r,f_spiral,f_circles,margin,router_spiral,oracle_spiral,composite_correct,region_match
42,0.07774,-0.34829,0.35686,0.98169,0.02746,0.18362,1,1,1,1
42,-0.01070,0.34528,0.34545,0.03240,0.06262,-1.03575,0,1,1,0
42,-0.06760,-0.26304,0.27158,0.98117,0.03862,0.17274,1,1,1,1
42,-0.02621,0.05756,0.06324,0.03897,0.03560,-0.77224,0,1,1,0
42,-0.32388,0.12499,0.34716,0.03422,0.04360,-0.90768,0,1,1,0
42,-0.35790,0.03084,0.35922,0.08077,0.04342,-0.53370,0,1,1,0
42,-0.14007,-0.35517,0.38179,0.98410,0.05863,0.14850,1,1,1,1
42,0.11105,-0.37990,0.39580,0.98432,0.02748,0.18369,1,1,1,1
42,-0.14312,-0.16722,0.22011,0.98056,0.03875,0.17260,1,1,1,1
42,-0.14758,0.21602,0.26161,0.03324,0.03580,-0.84129,0,1,1,0
42,-0.08159,0.32523,0.33531,0.03239,0.06152,-1.03134,0,1,1,0
42,0.06651,0.16816,0.18083,0.03441,0.03451,-0.81168,0,1,1,0
42,0.02256,0.08342,0.08642,0.03880,0.02723,-0.65209,0,1,1,0
42,0.13951,0.12406,0.18669,0.03872,0.03468,-0.76340,0,1,1,0
42,-0.20500,0.04137,0.20914,0.03557,0.04347,-0.89262,0,1,1,0
42,0.34237,0.20611,0.39963,0.08955,0.03612,-0.41221,0,1,1,0
42,0.17240,0.01744,0.17328,0.71844,0.03444,-0.04750,0,1,0,0
42,0.12279,-0.20963,0.24295,0.98100,0.02773,0.18335,1,1,1,1
42,-0.26389,0.17142,0.31468,0.03393,0.04373,-0.91179,0,1,1,0
42,-0.14018,-0.35344,0.38023,0.98409,0.05861,0.14853,1,1,1,1
42,-0.05925,-0.25543,0.26221,0.98113,0.03863,0.17272,1,1,1,1
42,-0.21921,-0.08227,0.23414,0.59877,0.04323,-0.04252,0,1,0,0
42,-0.06349,-0.24581,0.25388,0.98108,0.03865,0.17271,1,1,1,1
42,-0.15420,-0.01502,0.15493,0.39072,0.03896,0.05597,1,1,1,1
42,-0.12765,-0.20169,0.23869,0.98078,0.03870,0.17265,1,1,1,1
42,-0.07059,0.12460,0.14321,0.03446,0.03570,-0.82546,0,1,1,0
42,-0.24183,0.13829,0.27857,0.03435,0.04367,-0.90700,0,1,1,0
42,0.09865,0.12795,0.16157,0.03848,0.03451,-0.76390,0,1,1,0
42,0.21672,-0.08540,0.23294,0.97532,0.03428,0.17699,1,1,1,1
42,-0.20943,-0.11127,0.23715,0.96600,0.04318,0.16774,1,1,1,1
42,-0.04591,0.37619,0.37898,0.03204,0.06278,-1.03878,0,1,1,0
42,-0.37727,-0.12894,0.39870,0.90950,0.04319,0.14690,1,1,1,1
42,-0.16892,-0.07636,0.18538,0.92216,0.04325,0.16354,1,1,1,1
42,0.06077,-0.26982,0.27658,0.98129,0.02752,0.18355,1,1,1,1
42,0.00260,0.06225,0.06230,0.03903,0.02713,-0.64767,0,1,1,0
42,0.30529,-0.07544,0.31448,0.97530,0.03471,0.17658,1,1,1,1
42,-0.02555,-0.37442,0.37529,0.98424,0.03898,0.17240,1,1,1,1
42,0.04259,0.19912,0.20362,0.03399,0.06066,-1.01620,0,1,1,0
42,0.28456,-0.08292,0.29639,0.97536,0.03459,0.17670,1,1,1,1
42,-0.02514,-0.04427,0.05091,0.92155,0.03897,0.16369,1,1,1,1
42,0.19187,-0.21234,0.28619,0.97657,0.03633,0.17500,1,1,1,1
42,0.36255,-0.12476,0.38341,0.97588,0.07180,0.12734,1,1,1,1
